x,y,t,u,f
13.68421053,7.368421053,180,-0.278062515,0.256563065
14.73684211,7.368421053,180,-0.149203151,0.145881653
15.78947368,7.368421053,180,-0.003815681,0.003815626
16.84210526,7.368421053,180,0.087814546,-0.087137374
17.89473684,7.368421053,180,0.098905115,-0.097937604
18.94736842,7.368421053,180,0.058195276,-0.057998187
20,7.368421053,180,0.044125186,-0.044039273
0,8.421052632,180,0.056376985,-0.056197798
1.052631579,8.421052632,180,0.195589188,-0.188106898
2.105263158,8.421052632,180,0.319855999,-0.287132216
3.157894737,8.421052632,180,0.38237482,-0.326467605
4.210526316,8.421052632,180,0.358251545,-0.312272048
5.263157895,8.421052632,180,0.257097084,-0.240103247
6.315789474,8.421052632,180,0.153333035,-0.149728019
7.368421053,8.421052632,180,0.124812919,-0.12286855
8.421052632,8.421052632,180,0.118203045,-0.116551517
9.473684211,8.421052632,180,0.029110301,-0.029085633
10.52631579,8.421052632,180,-0.148306062,0.145044116
11.57894737,8.421052632,180,-0.316895115,0.285071711
12.63157895,8.421052632,180,-0.387935991,0.329553823
13.68421053,8.421052632,180,-0.344096268,0.303354498
14.73684211,8.421052632,180,-0.228112863,0.216242901
15.78947368,8.421052632,180,-0.112021108,0.110615385
16.84210526,8.421052632,180,-0.045552005,0.045457485
17.89473684,8.421052632,180,-0.036088826,0.036041824
18.94736842,8.421052632,180,-0.055203564,0.055035335
20,8.421052632,180,-0.038497856,0.038440799
0,9.473684211,180,0.005870357,-0.005870155
1.052631579,9.473684211,180,0.096359253,-0.095464547
2.105263158,9.473684211,180,0.167032591,-0.1623724
3.157894737,9.473684211,180,0.208619955,-0.199540338
4.210526316,9.473684211,180,0.213169513,-0.203482826
5.263157895,9.473684211,180,0.176980856,-0.171437422
6.315789474,9.473684211,180,0.13599702,-0.133481729
7.368421053,9.473684211,180,0.135171317,-0.132701563
8.421052632,9.473684211,180,0.134797522,-0.132348201
9.473684211,9.473684211,180,0.051031,-0.050898107
10.52631579,9.473684211,180,-0.121156388,0.119377949
11.57894737,9.473684211,180,-0.289525411,0.265255954
12.63157895,9.473684211,180,-0.368092908,0.31821912
13.68421053,9.473684211,180,-0.350624153,0.307519367
14.73684211,9.473684211,180,-0.280986698,0.258801808
15.78947368,9.473684211,180,-0.211712271,0.202222885
16.84210526,9.473684211,180,-0.166995201,0.162338139
17.89473684,9.473684211,180,-0.140763427,0.137974292
18.94736842,9.473684211,180,-0.118925789,0.117243781
20,9.473684211,180,-0.074495203,0.07408179
0,10.52631579,180,0.021106519,-0.021097116
1.052631579,10.52631579,180,0.019468541,-0.019461162
2.105263158,10.52631579,180,0.004545363,-0.004545269
3.157894737,10.52631579,180,0.006632192,-0.0066319
4.210526316,10.52631579,180,0.031614529,-0.031582931
5.263157895,10.52631579,180,0.056380977,-0.056201753
6.315789474,10.52631579,180,0.072835247,-0.072448858
7.368421053,10.52631579,180,0.100916179,-0.099888441
8.421052632,10.52631579,180,0.127359212,-0.125293399
9.473684211,10.52631579,180,0.090562462,-0.089819709
10.52631579,10.52631579,180,-0.030560439,0.030531897
11.57894737,10.52631579,180,-0.174472312,0.169161272
12.63157895,10.52631579,180,-0.266176541,0.247317946
13.68421053,10.52631579,180,-0.292202563,0.267253625
14.73684211,10.52631579,180,-0.273118656,0.252745698
15.78947368,10.52631579,180,-0.231526773,0.219115862
16.84210526,10.52631579,180,-0.177672743,0.172064041
17.89473684,10.52631579,180,-0.113179789,0.111729994
18.94736842,10.52631579,180,-0.051000275,0.050867622
20,10.52631579,180,-0.003628733,0.003628686
0,11.57894737,180,0.077772566,-0.077302153
1.052631579,11.57894737,180,-0.02567247,0.02565555
2.105263158,11.57894737,180,-0.111656647,0.1102646
3.157894737,11.57894737,180,-0.131404714,0.129135723
4.210526316,11.57894737,180,-0.09080821,0.090059394
5.263157895,11.57894737,180,-0.038212581,0.038156783
6.315789474,11.57894737,180,-0.009158262,0.009157494
7.368421053,11.57894737,180,0.014837137,-0.014833871
8.421052632,11.57894737,180,0.057718906,-0.057526617
9.473684211,11.57894737,180,0.08315021,-0.082575313
